lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxt 1.3.1-1
lib32-libxtst 1.2.5-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.6-1
lib32-lm_sensors 1:3.6.2-2
lib32-mangohud 0.8.4-1
lib32-mesa 3:26.1.2-1
lib32-mpg123 1.33.5-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.39-1
lib32-nss 3.125-1
lib32-nvidia-utils 610.43.02-1
lib32-ocl-icd 2.3.3-1
lib32-openal 1.25.2-1
lib32-opencl-nvidia 610.43.02-1
lib32-openssl 1:3.6.3-1
lib32-opus 1.6.1-1
lib32-p11-kit 0.26.2-1
lib32-pango 1:1.57.1-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.6-1
lib32-pixman 0.46.4-1
lib32-sdl2-compat 2.32.70-1
lib32-sdl2_image 2.8.12-1
lib32-sdl2_mixer 2.8.2-1
lib32-sdl2_ttf 2.24.0-2
lib32-sdl3 3.4.10-1
lib32-speex 1.2.1-2
lib32-speexdsp 1.2.1-2
lib32-spirv-tools 1:1.4.350.0-1
lib32-sqlite 3.53.2-1
lib32-systemd 260.2-1
lib32-tdb 1.4.13-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.350.0-1
lib32-vulkan-mesa-implicit-layers 3:26.1.2-1
lib32-vulkan-radeon 3:26.1.2-1
lib32-wayland 1.25.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib-ng 2.3.3-2
lib32-zlib-ng-compat 2.3.3-2
lib32-zstd 1.5.7-2
libabw 0.1.4-1.1
libaccounts-glib 1.27-3.1
libaccounts-qt 1.17-2.1
libadwaita 1:1.9.1-1
libaio 0.3.113-4.1
libappindicator 12.10.1-1
libarchive 3.8.7-1.1
libasan 16.1.1+r12+g301eb08fa2c5-2
libass 0.17.4-2.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.1
libatasmart 0.19-8.1
libatomic 16.1.1+r12+g301eb08fa2c5-2
libatomic_ops 7.8.2-2.1
libavc1394 0.5.4-7.1
libavif 1.4.2-1.1
libavtp 0.2.0-3.1
libayatana-appindicator 0.6.0-1.1
libayatana-indicator 0.9.5-1.1
libb2 0.98.1-3.1
libblake3 1.8.4-1.1
libblockdev 3.5.0-2.1
libblockdev-crypto 3.5.0-2.1
libblockdev-fs 3.5.0-2.1
libblockdev-loop 3.5.0-2.1
libblockdev-mdraid 3.5.0-2.1
libblockdev-nvme 3.5.0-2.1
libblockdev-part 3.5.0-2.1
libblockdev-smart 3.5.0-2.1
libblockdev-swap 3.5.0-2.1
libbluray 1.4.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libbytesize 2.12-3.1
libcaca 0.99.beta20-7.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.78-1.1
libcap-ng 0.9.3-1.1
libcbor 0.14.0-1.1
libcddb 1.3.2-9.2
libcdio 2.3.0-1.1
libcdio-paranoia 10.2+2.0.2-2.1
libcdr 0.1.9-1.1
libclapper 0.10.0-1.1
libclapper-gtk 0.10.0-1.1
libcloudproviders 0.4.0-1.1
libcmis 0.6.3-1.1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6.3
libdatachannel 0.24.3-2.1
libdatrie 0.2.14-1.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdbusmenu-qt5 0.9.3+16.04.20160218-8
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.1.1-1.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdispatch 6.2.2-1.1
libdisplay-info 0.3.0-1.1
libdmtx 0.7.8-1.1
libdovi 3.3.2-2.1
libdrm 2.4.134-1.1
libdv 1.0.0-12.1
libdvbpsi 1:1.3.3-4
libdvdcss 1.5.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.1-1.1
libe-book 0.1.3-20.1
libebml 1.4.5-2.1
libebur128 1.2.6-2.1
libedit 20260512_3.1-1.1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3.1
libepubgen 0.1.1-6.1
libetonyek 0.1.13-2.1
libev 4.33-5.1
libevdev 1.13.6-1.1
libevent 2.1.12-5.1
libexttextcat 3.4.8-1.1
libfabric 2.5.1-1.1
libfakekey 0.3-4.1
libfdk-aac 2.0.3-2.1
libffi 3.5.2-1.1
libfido2 1.17.0-1.1
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.1
libfreehand 0.1.3-1.1
libftdi 1.5-10.1
libfyaml 0.9.6-2.1
libgbinder 1.1.47-1.1
libgcc 16.1.1+r12+g301eb08fa2c5-2
libgcrypt 1.12.2-1.1
libgee 0.20.8-1.1
libgfortran 16.1.1+r12+g301eb08fa2c5-2
libgirepository 1.86.0-2.1
libgit2 1:1.9.4-1.1
libglibutil 1.0.82-1.1
libglvnd 1.7.0-3.1
libgme 0.6.5-1.1
libgomp 16.1.1+r12+g301eb08fa2c5-2
